Year,County,Site Name,X,Y
2018,Emmons,Hague WMA,-100.024372,46.033688
2018,Divide,Hall,-103.497921,48.705137
2018,Cass,Hamilton Wills WMA,-97.405595,46.699723
2018,Ransom,Heiser,-98.018707,46.478006
2018,Logan,Herr,-99.544012,46.347574
2018,McIntosh,Herr West,-99.866028,46.200641
2018,Hettinger,HET-133-091-10,-102.108771,46.351009
2018,Hettinger,HET-134-094-16,-102.495594,46.423984
2018,Mercer,Hille WMA,-101.677366,47.500116
2018,Hettinger,Hillsview WPA,-102.479877,46.58122
2018,Kidder,Horsehead WMA,-99.810163,47.060577
2018,Griggs,Jackson,-98.012718,47.567161
2018,Sheridan,Johns Lake WPA,-100.498256,47.398719
2018,Walsh,Joliet Ferry WMA,-97.156746,48.381725
2018,Ramsey,Kenner Marsh WMA,-99.030808,48.230678
2018,Williams,Kraft,-103.147838,48.243845
2018,Sargent,Kraft Slough WPA,-97.922738,46.152686
2018,Ward,Krueger,-101.259114,47.888844
2018,Rolette,LaFromboise WPA,-99.743512,48.81092
2018,Dunn,Lake Ilo NWR,-102.685862,47.3511
2018,Eddy,Lake Washington WMA,-98.700404,47.758066
2018,LaMoure,LAM-136-059-36,-98.037457,46.556946
2018,Logan,Lang,-99.329339,46.518633
2018,Dickey,Lazy M WPA,-98.944307,46.002673
2018,Barnes,Legge,-98.038261,46.947478
2018,Foster,Leppke,-99.250409,47.391007
2018,Barnes,Lettenmaier WPA,-97.780472,46.684822
2018,Towner,Lindy,-99.219675,48.847072
2018,Pierce,Long Lake WPA,-99.825541,48.48316
2018,Pembina,Lubenow East Low,-97.264237,48.715266
2018,McHenry,MCH-JCS NWR,-100.421705,48.511698
2018,McKenzie,MCK-146-100-36,-103.372637,47.428769
2018,McKenzie,MCK-Little Missouri NG 2,-103.8051,47.626318
2018,McLean,MCL-Finken,-101.532704,47.786988
2018,Mercer,MER-144-085-16,-101.461703,47.297059
2018,Morton,MOR-137-085-16,-101.423859,46.677394
2018,Morton,MOR-140-089-16,-101.927459,46.941226
2018,Mountrail,MOU-157-093-36,-102.629111,48.386405
