Code,Scientific Name,Common Name,
OXYLAM,Oxytropis lambertii,Lambert's locoweed,
OXYSPL,Oxytropis splendens,Showy locoweed,
PACCAN,Packera cana,Woolly groundsel,
Packera sp.,Packera,Ragworts / Groundsels,
PACPAU,Packera paupercula,Balsam ragwort,
PACPLA,Packera plattensis,Prairie ragwort,
PACPSE,Packera pseudaurea,Western heart-leaved groundsel,
PAP spp,Papilio,Swallowtail,
PAPCAN,Papilio canadensis,Canadian tiger swallowtail,
PARPAL,,Paronychia palmeri,Palmer's nailwort
PEDARG,Pediomelum argophyllum,Silverleaf scurfpea,
PEDESC,Pediomelum esculentum,Prairie turnip,
PENALB,Penstemon albidus,White beardtongue,
PENANG,,Penstemon angustifolius,Narrowleaf penstemon
PENERI,,Penstemon eriophyllus,
PENGRAC,Penstemon gracilis,Slender beardtongue,
PENGRAN,Penstemon grandiflorus,Large beardtongue,
PERAMP,Persicaria amphibia,Swamp smartweed,
PERHYD,Persicaria hydropiperoides,Mild waterpepper,
PERLAP,,Persicaria lapathifolia,Curlytop smartweed
PERPEN,,Persicaria pensylvanica,Pennsylvania smartweed
PERSER,Peritoma serrulata,Rocky mountain bee plant,
PHEPAR,,Phelianthus paradoxus,
PHLAND,,Phlox andicola,Prairie phlox
PHLHOO,,Phlox hoodii,Hood's phlox
PHY spp,Phyciodes,Crescents,
PHYARE,Physaria arenosa,Great Plains bladderpod,
PHYLUD,Physaria ludoviciana,Bladderpod,
PHYVIR,Physalis virginiana,Virginia ground cherry,
PLAAQU,,Plantago aquatica,Water plantain
PLAERI,Plantago eriopoda,Alkali plaintain,
PLAMAJ,,Plantago major,Common plantain
PLAPAT,Plantago patagonica,Woolly plaintain,
POLALB,Polygala alba,White milkwort,
POLSEN,,Polygala senega,Seneca snakeroot
POLVER,,Polygala verticillata,Whorled milkwort
PONOCC,Pontia occidentalis,Western White,
POSARK,,Polygonum arkansanum,Arkansas knotweed
POTANS,Potentilla anserina,Silverweed cinquefoil,
POTARG,Potentilla argentea,Silver cinquefoil,
POTFRU,,Potentilla fruiticosa,
POTGLA,Potentilla glandulosa,Sticky cinquefoil,
POTGRA,,Potentilla gracilis,Slender cinquefoil
POTHIP,Potentilla hippiana,Woolly cinquefoil,
POTNOR,Potentilla norvegica,Rough cinquefoil,
POTPEN,Potentilla pensylvanica,Pennsylvania cinquefoil,
POTREC,,Potentilla recta,Sulfur cinquefoil
POTRIV,Potentilla rivalis,Brook cinquefoil,
POTSIM,Potentilla simplex,Common cinquefoil,
POTSUP,,Potentilla supina,Creeping cinquefoil
PRUAME,,Prunus americana,American plum
PRUVIR,,Prunella vulgaris,Common self-heal
PYCVIR,Pycnanthemum virginianum,Virginia mountain mint,
RANACR,,Ranunculus acris,Tall buttercup
RANCYM,Ranunculus cymbalaria,Alkali buttercup,
RANHIS,,Ranunculus hispidus,Bristly buttercup
RANMAC,Ranunculus macounii,Macoun's buttercup,
RANPEN,Ranunculus pensylvanicus,Pennsylvania buttercup,
RATCOL,Ratibida columnifera,Prairie coneflower,
RATPIN,Ratibida pinnata,Gray-headed coneflower,
RORPAL,,Rorippa palustris,Marsh yellowcress
ROSACI,Rosa acicularis,Prickly wild rose,
ROSARK,Rosa arkansana,Prairie rose,
ROSBLA,Rosa blanda,Smooth wild rose,
ROSWOO,Rosa woodsii,Wood's wild rose,
RUBIDA,,Rudbeckia hirta var. idahoensis,
RUBPUB,Rubus pubescens,Dwarf raspberry,
RUDHIR,Rudbeckia hirta,Black-eyed Susan,
RUDLAC,Rudbeckia laciniata,Cut-leaf coneflower,
RUMCRI,Rumex crispus,Curly dock,
RUMLON,Rumex longifolius,Dooryard dock,
RUMOBT,Rumex obtusifolius,Bitter dock,
RUMOCC,Rumex occidentalis,Western dock,
RUMSTE,Rumex stenophyllus,Narrowleaf dock,
SALEXI,,Salvia eximia,Tropical sage
SALINT,Salix interior,Sandbar willow,
